ID,Business name,Retail category,Geo Local Area,Address
1177,Vancity Yoga,Entertainment and Leisure,Strathcona,253 E PENDER ST
1188,Diaz Combat Sports (DCS),Entertainment and Leisure,Strathcona,276 E PENDER ST
1191,Zhao Mah Bakery Ltd,Convenience Goods,Strathcona,280 E PENDER ST
1197,Leo Fine Hair Salon,Service Commercial,Strathcona,433 GORE AV
1201,Addah,Food & Beverage,Strathcona,555 GORE AV
1203,Hung Win Seafood Co. Ltd,Convenience Goods,Strathcona,585 GORE AV
1205,Myodetox,Service Commercial,Strathcona,683 GORE AV
1206,Pot Spot Studio,Comparison Goods,Strathcona,721 GORE AV
1208,Strathcona denture clinic,Service Commercial,Strathcona,735 GORE AV
1210,The Program Fitness & Health,Entertainment and Leisure,Strathcona,747 GORE AV
1215,Keefer Medical Clinic,Service Commercial,Downtown,118 KEEFER ST
1222,S Hair Salon,Service Commercial,Downtown,150 139 KEEFER ST
1226,Pharmatrust Pharmacy,Convenience Goods,Downtown,178 KEEFER ST
1229,Tim Hortons,Food & Beverage,Strathcona,206 KEEFER ST
1233,De Xing Long Trading Co. Ltd.,Convenience Goods,Strathcona,217 KEEFER ST
1238,Pioneer Book Store/Xiang Wang Enterprise Inc,Comparison Goods,Strathcona,106 229 KEEFER ST
1241,Lucky Hair Cut,Service Commercial,Strathcona,116 229 KEEFER ST
1242,Kent's Kitchen,Food & Beverage,Strathcona,232 KEEFER ST
1244,Kam Che Jade & Gem Co.,Comparison Goods,Strathcona,101 237 KEEFER ST
1245,Xiang Wang Enterprises,Convenience Goods,Strathcona,102 237 KEEFER ST
1248,Sun Fresh Bakery House,Convenience Goods,Strathcona,245 KEEFER ST
1251,Sing Chong Food Centre Ltd.,Convenience Goods,Strathcona,253 KEEFER ST
1252,Maxim's Bakery Ltd.,Convenience Goods,Strathcona,257 KEEFER ST
1262,Royal Bank of Canada,Service Commercial,Strathcona,400 MAIN ST
1263,Prime Time Chicken and Chinese Food,Food & Beverage,Strathcona,416 MAIN ST
1275,Waves Coffee House,Food & Beverage,Downtown,495 MAIN ST
1276,Ten Ren Tea & Ginseng Co. (Vancouver) Ltd,Food & Beverage,Strathcona,500 MAIN ST
1282,Main Street Medical Group,Service Commercial,Downtown,104 515 MAIN ST
1291,Cheung Sing Herbal and Birds Nest Co. Ltd.,Convenience Goods,Strathcona,536 MAIN ST
1298,The University Of British Columbia,Service Commercial,Strathcona,612 MAIN ST
1299,Crosstown Dental,Service Commercial,Downtown,615 MAIN ST
1301,Pacific Poke,Food & Beverage,Downtown,625 MAIN ST
1303,Zukay Beauty Salon,Service Commercial,Strathcona,630 MAIN ST
1305,The Vapory Lounge Ltd,Convenience Goods,Strathcona,634 MAIN ST
1307,Ba Le Sandwich Shop,Food & Beverage,Strathcona,638 MAIN ST
1310,HSBC Bank,Service Commercial,Downtown,681 MAIN ST
1320,Trainor Movement Co,Service Commercial,Strathcona,223 UNION ST
1321,Hunter & Hare Clothing Corporation,Comparison Goods,Strathcona,227 UNION ST
1324,Bar Gobo,Food & Beverage,Strathcona,237 UNION ST
1327,Harvest Community Foods,Food & Beverage,Strathcona,120 243 UNION ST
1329,Nula Salon and Apothecary,Service Commercial,Strathcona,247 UNION ST
1330,Chi Shing Trading Co. Ltd.,Comparison Goods,Strathcona,255 UNION ST
1336,Domino's Pizza,Food & Beverage,Killarney,5522 JOYCE ST
1339,Trendy Group Sign & Printing,Service Commercial,Killarney,5532 JOYCE ST
1343,Geek Workshop,Comparison Goods,Killarney,5558 JOYCE ST
1344,World Financial,Service Commercial,Killarney,5562 JOYCE ST
1346,Print Signs,Service Commercial,Renfrew-Collingwood,3002 KINGSWAY
1349,Emax Massage,Service Commercial,Renfrew-Collingwood,3 3003 KINGSWAY
1351,Seahouse Fish & Chips,Food & Beverage,Renfrew-Collingwood,7 3003 KINGSWAY
1352,Sea Horse Household Products,Comparison Goods,Renfrew-Collingwood,8 3003 KINGSWAY
1368,Wafaa Masri Notary Public,Service Commercial,Renfrew-Collingwood,3147 KINGSWAY
1371,Metro Coffee Bar & Billiards,Food & Beverage,Renfrew-Collingwood,3175 KINGSWAY
1373,Dharma Garden,Food & Beverage,Renfrew-Collingwood,3195 KINGSWAY
1374,Carleton Rescue Equipment,Comparison Goods,Renfrew-Collingwood,3201 KINGSWAY
1375,Jesus Is Lord Church,Service Commercial,Renfrew-Collingwood,3215 KINGSWAY
1376,Jambo Grill,Food & Beverage,Renfrew-Collingwood,3219 KINGSWAY
1381,View Beauty,Service Commercial,Renfrew-Collingwood,3273 KINGSWAY
1385,Fighter Chicken,Food & Beverage,Renfrew-Collingwood,3293 KINGSWAY
1392,Los Guerreros Latin Foods,Convenience Goods,Renfrew-Collingwood,102 3317 KINGSWAY
1395,Papa John's Pizza,Food & Beverage,Killarney,300 3320 KINGSWAY
1397,Cantonese BBQ Seafood Restaurant,Food & Beverage,Killarney,3320 KINGSWAY
1407,Hoi Sing Seafood,Food & Beverage,Renfrew-Collingwood,2 3335 KINGSWAY
1408,Joojak Restaurant Ltd.,Food & Beverage,Renfrew-Collingwood,2 3337 KINGSWAY
1410,Sushi Aji,Food & Beverage,Renfrew-Collingwood,3339 KINGSWAY
1412,Jin's Beauty Hair Salon,Service Commercial,Killarney,210 3340 KINGSWAY
1421,Specsavers,Comparison Goods,Renfrew-Collingwood,3353 KINGSWAY
1423,Yat Sum Hong Chinese Herbs,Convenience Goods,Renfrew-Collingwood,3357 KINGSWAY
1424,Kong May Trading Co,Convenience Goods,Renfrew-Collingwood,3363 KINGSWAY
1429,Tokyo Beauty,Service Commercial,Renfrew-Collingwood,B 3367 KINGSWAY
1430,Mabuhay Supermarket,Convenience Goods,Renfrew-Collingwood,3369 KINGSWAY
1432,Phoenix Fashions & Alterations,Service Commercial,Renfrew-Collingwood,101 3373 KINGSWAY
1434,Perfect Cut & Perm,Service Commercial,Renfrew-Collingwood,101 3375 KINGSWAY
1436,Blackball,Food & Beverage,Renfrew-Collingwood,1 3377 KINGSWAY
1437,Bubble World,Food & Beverage,Renfrew-Collingwood,2 3377 KINGSWAY
1438,Fortune Lamb Dining,Food & Beverage,Renfrew-Collingwood,3 3377 KINGSWAY
1441,Signature Styles Hair Salon,Service Commercial,Renfrew-Collingwood,3383 KINGSWAY
1449,TD Canada Trust,Service Commercial,Renfrew-Collingwood,3399 KINGSWAY
1451,Safeway,Convenience Goods,Killarney,3410 KINGSWAY
1455,Perfectworld Holiday,Service Commercial,Renfrew-Collingwood,3427 KINGSWAY
1457,Collingwood Tax Service,Service Commercial,Renfrew-Collingwood,3433 KINGSWAY
1460,4Twenty Cannabis,Convenience Goods,Renfrew-Collingwood,3441 KINGSWAY
1461,Supersave Pharmacy,Convenience Goods,Renfrew-Collingwood,3443 KINGSWAY
1462,Tim Hortons,Food & Beverage,Renfrew-Collingwood,3451 KINGSWAY
1463,Alcoholics Anonymous,Service Commercial,Renfrew-Collingwood,3457 KINGSWAY
1473,Kuan Zhai Road Restaurant,Food & Beverage,Killarney,3488 KINGSWAY
1475,I Spa Beauty & Relaxation,Service Commercial,Killarney,3 3490 KINGSWAY
1476,JE's Alteration,Service Commercial,Killarney,4 3490 KINGSWAY
1478,OK Vapor Ltd.,Convenience Goods,Killarney,6 3490 KINGSWAY
1483,Yours Truly Nail Spa,Service Commercial,Killarney,11 3490 KINGSWAY
1488,Dragon Crepe,Food & Beverage,Renfrew-Collingwood,3499 KINGSWAY
1489,Happy Tree House BBQ,Food & Beverage,Killarney,3502 KINGSWAY
1490,Lu’ma Native Housing Society,Service Commercial,Renfrew-Collingwood,3505 KINGSWAY
1492,Healingpro Therapeutics Inc.,Service Commercial,Renfrew-Collingwood,3511 KINGSWAY
1493,Han Kook Meat,Convenience Goods,Killarney,3514 KINGSWAY
1494,Cash For Gold,Service Commercial,Renfrew-Collingwood,3515 KINGSWAY
1498,Sa Sa Beauty Spa,Service Commercial,Renfrew-Collingwood,3519 KINGSWAY
1503,Clive Living,Service Commercial,Killarney,3528 KINGSWAY
1510,Hair Sketch Beauty Salon,Service Commercial,Renfrew-Collingwood,3549 KINGSWAY
1512,Zuli Massage,Service Commercial,Renfrew-Collingwood,3559 KINGSWAY
1514,Kingsway Barbershop,Service Commercial,Renfrew-Collingwood,3571 KINGSWAY
1515,Canffle,Food & Beverage,Renfrew-Collingwood,3581 KINGSWAY
1518,VYC Medical Clinic,Service Commercial,Renfrew-Collingwood,3587 KINGSWAY
1520,La Lucia Hair Salon,Service Commercial,Renfrew-Collingwood,3591 KINGSWAY
1537,Sigma Eyecare,Service Commercial,Renfrew-Collingwood,115 3665 KINGSWAY
1538,Peaceful Art Studio Vancouver,Comparison Goods,Renfrew-Collingwood,120 3665 KINGSWAY
1542,Michi Craft Kitchen,Food & Beverage,Renfrew-Collingwood,180 3665 KINGSWAY
1544,Starbucks,Food & Beverage,Renfrew-Collingwood,190 3665 KINGSWAY
1545,Ikoi Chá,Food & Beverage,Killarney,5712 TYNE ST
1546,Tyne Dental Clinic,Service Commercial,Killarney,5718 TYNE ST
1547,Balkan Bakery,Convenience Goods,Killarney,5728 TYNE ST
1548,Panago,Food & Beverage,Killarney,5738 TYNE ST
1549,Collingwood Insurance,Service Commercial,Killarney,5750 TYNE ST
1558,Liquid Amber,Service Commercial,Grandview-Woodland,902 COMMERCIAL DRIVE
1560,Downlow Chicken Shack,Food & Beverage,Grandview-Woodland,905 COMMERCIAL DRIVE
1563,Zawa Restaurant,Food & Beverage,Grandview-Woodland,920 COMMERCIAL DRIVE
1564,Covid Art Café,Food & Beverage,Grandview-Woodland,931 COMMERCIAL DRIVE
1565,Vancouver Donair,Food & Beverage,Grandview-Woodland,933 COMMERCIAL DRIVE
1566,Nicli pronto,Food & Beverage,Grandview-Woodland,935 COMMERCIAL DRIVE
1569,Attic Treasures,Comparison Goods,Grandview-Woodland,944 COMMERCIAL DRIVE
1571,Absinth Bistro,Food & Beverage,Grandview-Woodland,952 COMMERCIAL DRIVE
